Seed,Fold,Baseline,Topk,Explainer,Lambda_1,Lambda_2,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,2,Average,0.2,fit,1.0,1.0,0.86,0.06483,0.3711,-0.1152,0.1294
42,2,Average,0.2,gradient_shap,1.0,1.0,0.665,0.1876,0.5712,-0.3152,0.008503
42,2,Average,0.2,integrated_gradients,1.0,1.0,0.68,0.1893,0.5723,-0.3163,0.01187
42,2,Average,0.2,lime,1.0,1.0,0.71,0.1538,0.5179,-0.262,0.03688
42,2,Average,0.2,augmented_occlusion,1.0,1.0,0.71,0.1694,0.5436,-0.2877,0.02747
42,2,Average,0.2,occlusion,1.0,1.0,0.69,0.1893,0.5688,-0.3129,0.01287
42,2,Average,0.2,retain,1.0,1.0,0.8,0.09905,0.4221,-0.1661,0.1161
42,2,Average,0.3,deep_lift,1.0,1.0,0.66,0.2016,0.6027,-0.3468,-0.003613
42,2,Average,0.3,dyna_mask,1.0,1.0,0.405,0.3581,1.188,-0.9317,-0.05357
42,2,Average,0.3,extremal_mask,1.0,1.0,0.325,0.3496,1.0,-0.7442,-0.1142
42,2,Average,0.3,fit,1.0,1.0,0.8,0.1005,0.4316,-0.1757,0.09039
42,2,Average,0.3,gradient_shap,1.0,1.0,0.65,0.196,0.5936,-0.3377,0.001151
42,2,Average,0.3,integrated_gradients,1.0,1.0,0.665,0.2019,0.6023,-0.3463,-0.003219
42,2,Average,0.3,lime,1.0,1.0,0.71,0.1634,0.5328,-0.2768,0.02386
42,2,Average,0.3,augmented_occlusion,1.0,1.0,0.7,0.1941,0.5877,-0.3318,0.003574
